date,yoy_pct,original_value
1977-01-01,12.34587170282504,14.396
1977-02-01,10.262368815592193,14.709
1977-03-01,13.395126326805196,15.17
1977-04-01,14.459653633819848,15.135
1977-05-01,15.599444530165108,14.984
1977-06-01,14.565933644931416,14.952
1977-07-01,8.725679489083626,14.641
1977-08-01,14.71473789855633,14.859
1977-09-01,7.641440117560627,14.65
1977-10-01,16.197457693207507,14.9
1977-11-01,11.003600360036003,14.799
1977-12-01,4.460659461692029,15.175
1978-01-01,-4.8068908030008295,13.704
1978-02-01,-2.3523013121218295,14.363
1978-03-01,-0.02636783124587705,15.166
1978-04-01,7.02345556656756,16.198
1978-05-01,8.769353977576078,16.298
1978-06-01,9.336543606206526,16.348
1978-07-01,6.058329349088187,15.528
1978-08-01,7.981694595867839,16.045
1978-09-01,-0.06143344709897969,14.641
1978-10-01,6.342281879194633,15.845
1978-11-01,4.628691127778906,15.484
1978-12-01,1.0741350906095404,15.338
1979-01-01,9.90221833041447,15.061
1979-02-01,6.669915755761324,15.321
1979-03-01,0.7187129104575973,15.275
1979-04-01,-8.98876404494382,14.742
1979-05-01,-11.805129463737874,14.374
1979-06-01,-22.045510154147298,12.744
1979-07-01,-9.119010819165386,14.112
1979-08-01,-10.601433468370224,14.344
1979-09-01,-2.3837169592241025,14.292
1979-10-01,-17.24834332597034,13.112
1979-11-01,-15.88090932575562,13.025
1979-12-01,-12.009388446994384,13.496
1980-01-01,-4.129871854458534,14.439
1980-02-01,-13.347692709353176,13.276
1980-03-01,-20.93617021276596,12.077
1980-04-01,-29.154795821462486,10.444
1980-05-01,-33.630165576735784,9.54
1980-06-01,-18.008474576271183,10.449
1980-07-01,-17.34693877551021,11.664
1980-08-01,-22.239263803680977,11.154
1980-09-01,-23.64959417856143,10.912
1980-10-01,-12.965222696766322,11.412
1980-11-01,-13.573896353166992,11.257
1980-12-01,-18.946354475400117,10.939
1981-01-01,-21.86439504120784,11.282
1981-02-01,-6.96746007833684,12.351
1981-03-01,2.8980707129253824,12.427
1981-04-01,0.44044427422442745,10.49
1981-05-01,8.532494758909849,10.354
1981-06-01,-0.3253899894726797,10.415
1981-07-01,-10.596707818930028,10.428
1981-08-01,13.690155997848308,12.681
1981-09-01,1.539589442815248,11.08
1981-10-01,-17.47283561163688,9.418
1981-11-01,-15.661366260993159,9.494
1981-12-01,-17.222780875765608,9.055
1982-01-01,-8.837085623116469,10.285
1982-02-01,-11.55372034653066,10.924
1982-03-01,-14.29146213889112,10.651
1982-04-01,-7.082936129647289,9.747
1982-05-01,7.233919258257693,11.103
1982-06-01,-7.7004320691310575,9.613
