date,yoy_pct,original_value
1974-01-02,17.800954617542253,477.3899
1974-01-09,17.59651615324924,474.9434
1974-01-16,17.83793470369941,476.0814
1974-01-23,17.805094474018436,476.4812
1974-01-30,16.718113737507,476.4654
1974-02-06,16.369018527083036,478.5762
1974-02-13,15.57410451450487,479.0208
1974-02-20,15.079055287871345,479.9662
1974-02-27,14.670471197950796,481.2433
1974-03-06,14.22660101313047,483.8841
1974-03-13,14.141515455671971,484.7831
1974-03-20,14.479365834093528,487.7928
1974-03-27,14.74392424299429,491.0192
1974-04-03,15.507408974261017,495.8308
1974-04-10,15.475958748863562,497.1404
1974-04-17,16.003380142867197,499.9603
1974-04-24,15.734435162657467,500.8513
1974-05-01,16.01016398723505,504.9028
1974-05-08,15.414409068245227,503.9202
1974-05-15,15.5955000686967,506.4907
1974-05-22,15.357453816623167,506.7751
1974-05-29,15.089332632685238,508.1148
1974-06-05,14.971995742992172,509.9054
1974-06-12,14.89310535555395,511.2032
1974-06-19,15.089039402711979,513.5159
1974-06-26,15.08986311229863,515.5043
1974-07-03,15.370824219764634,518.343
1974-07-10,14.697384107197298,518.8647
1974-07-17,14.993976558265354,519.5636
1974-07-24,14.677538116232757,519.7178
1974-07-31,14.518008837835783,522.6358
1974-08-07,14.108110527930616,522.5347
1974-08-14,13.601259249487807,522.7329
1974-08-21,14.306387309426704,523.6203
1974-08-28,14.44614197493852,524.8959
1974-09-04,13.939544154651195,525.4395
1974-09-11,14.172596686184914,526.5945
1974-09-18,14.10792201735398,526.775
1974-09-25,13.488421431504992,525.3017
1974-10-02,13.578347625066511,526.3918
1974-10-09,13.309804668513037,527.0754
1974-10-16,13.672705790105866,526.829
1974-10-23,13.380145870517746,526.7374
1974-10-30,13.144885182479648,526.3095
1974-11-06,12.49370087591486,526.383
1974-11-13,13.20377349343731,527.7432
1974-11-20,12.98190396201675,527.3227
1974-11-27,12.86542606478247,527.9418
1974-12-04,12.946868850068615,530.5922
1974-12-11,12.452309995214051,530.075
1974-12-18,12.063853277631287,530.8588
1974-12-25,11.023878417389765,531.2668
1975-01-01,11.848742505863651,533.9546
1975-01-08,11.622037489098691,530.1415
1975-01-15,11.064767495642558,528.7587
1975-01-22,10.455879476462027,526.3015
1975-01-29,10.395340354199911,525.9956
1975-02-05,9.943202357325776,526.162
1975-02-12,9.124927351797663,522.7311
1975-02-19,9.30038406871152,524.6049
1975-02-26,8.885858774553324,524.0059
1975-03-05,8.51548955628012,525.0892
1975-03-12,8.21006342836621,524.5841
1975-03-19,7.37942421454354,523.7891
1975-03-26,6.215683622962187,521.5394
1975-04-02,5.0876629688998865,521.057
1975-04-09,4.88252413201582,521.4134
1975-04-16,4.474175249514811,522.3294
1975-04-23,4.098941142810264,521.3809
1975-04-30,3.4314921604712945,522.2285
1975-05-07,3.5576069385589326,521.8477
1975-05-14,2.7780964191445268,520.5615
1975-05-21,2.776478165561014,520.8456
1975-05-28,2.49896283280866,520.8124
1975-06-04,2.2353362015777867,521.3035
1975-06-11,2.0266891913039764,521.5637
1975-06-18,1.4637910919603536,521.0327
1975-06-25,1.0722703961926205,521.0319
1975-07-02,0.5673656246925507,521.2839
1975-07-09,0.5491797765390549,521.7142
1975-07-16,0.05038844137656984,519.8254
1975-07-23,-0.06620900804245045,519.3737
1975-07-30,-0.5280541440138675,519.876
1975-08-06,-0.4277227904673109,520.2997
1975-08-13,-0.5874701974947327,519.662
1975-08-20,-0.6606695729711176,520.1609
1975-08-27,-1.0590480893449494,519.337
1975-09-03,-0.9113323227507686,520.651
1975-09-10,-1.1337566191823245,520.6242
1975-09-17,-1.1535854966541526,520.6982
1975-09-24,-0.9054225409893091,520.5455
1975-10-01,-0.5914985757756952,523.2782
1975-10-08,-0.8246068778774207,522.7291
1975-10-15,-0.7853781777388713,522.6914
1975-10-22,-0.9026319376600145,521.9829
1975-10-29,-0.828732903358187,521.9478
1975-11-05,-1.0823677816342858,520.6856
1975-11-12,-1.316113594642243,520.7975
1975-11-19,-1.258660019756408,520.6855
1975-11-26,-0.5477876538663828,525.0498
1975-12-03,-1.0381042163831289,525.0841
1975-12-10,-0.7356883459887831,526.1753
1975-12-17,-0.5557033244998344,527.9088
1975-12-24,-0.3164888150360534,529.5854
1975-12-31,-0.3885536335860751,531.8799
1976-01-07,-0.8878950242529493,525.4344
1976-01-14,-0.7498505461943084,524.7938
1976-01-21,-0.3025452141025675,524.7092
1976-01-28,-0.2846601758645928,524.4983
1976-02-04,-0.1595516209836556,525.3225
