date,yoy_pct,original_value
2003-12-17,4.777622432047046,753919.0
2003-12-24,4.774615160799889,767012.0
2003-12-31,5.548198754025346,771551.0
2004-01-07,4.430600114402239,755829.0
2004-01-14,4.546477167624441,752812.0
2004-01-21,5.418824299921332,775833.0
2004-01-28,5.958117812766117,755279.0
2004-02-04,4.795433291229134,754153.0
2004-02-11,5.287958041781571,750999.0
2004-02-18,3.8826670317634093,758759.0
2004-02-25,3.9732402559627733,750666.0
2004-03-03,4.458319322381965,754867.0
2004-03-10,4.593494687690902,749950.0
2004-03-17,4.207978101799781,760638.0
2004-03-24,3.6538352787995887,751510.0
2004-03-31,3.860048166978869,760725.0
2004-04-07,3.6075930236072917,754083.0
2004-04-14,2.3994486738406984,763734.0
2004-04-21,3.51833187202788,757984.0
2004-04-28,3.5687008069205994,772927.0
2004-05-05,3.4591923824689896,758838.0
2004-05-12,3.3042893360220704,764835.0
2004-05-19,3.018242845029051,756874.0
2004-05-26,3.518880488014431,771108.0
2004-06-02,4.431387502784734,764090.0
2004-06-09,3.8952634156580235,772187.0
2004-06-16,3.5204626552126195,761834.0
2004-06-23,4.199226362803055,775261.0
2004-06-30,5.330443735255885,779578.0
2004-07-07,4.531386429885953,778163.0
2004-07-14,5.119651921682378,775536.0
2004-07-21,4.170639630397033,776764.0
2004-07-28,4.541567888476883,773916.0
2004-08-04,5.186112602143278,772085.0
2004-08-11,4.606968313239568,769265.0
2004-08-18,2.2335431025871433,767595.0
2004-08-25,4.69865804705949,775437.0
2004-09-01,4.638748715789354,785273.0
2004-09-08,6.967665625839281,788602.0
2004-09-15,6.074288348910328,789128.0
2004-09-22,5.522313351583197,782124.0
2004-09-29,4.404803792048129,786330.0
2004-10-06,6.060034621792187,781777.0
2004-10-13,5.469691565824175,795483.0
2004-10-20,5.564446500568865,784954.0
2004-10-27,5.8966480745966665,791336.0
2004-11-03,6.240424879991835,790552.0
2004-11-10,7.359000219955902,800473.0
2004-11-17,6.657837723851978,794090.0
2004-11-24,7.000597122188101,809956.0
2004-12-01,7.6111261485291015,807063.0
2004-12-08,6.861092937343449,808495.0
2004-12-15,7.044390710407877,807028.0
2004-12-22,5.7783972089093805,811333.0
2004-12-29,5.105689708133365,810944.0
2005-01-05,7.921500762738654,815702.0
2005-01-12,6.063001121129852,798455.0
2005-01-19,4.012074763512241,806960.0
2005-01-26,6.882622183325626,807262.0
2005-02-02,6.708585658347843,804746.0
2005-02-09,6.165121391639672,797299.0
2005-02-16,4.85621916840524,795606.0
2005-02-23,7.1816227190255155,804576.0
2005-03-02,6.14479106915522,801252.0
2005-03-09,6.5737715847723255,799250.0
2005-03-16,6.122886313857578,807211.0
2005-03-23,6.0656544823089575,797094.0
2005-03-30,6.155443820040096,807551.0
2005-04-06,5.7346472470537035,797327.0
2005-04-13,5.4957616133365805,805707.0
2005-04-20,5.779673449571487,801793.0
2005-04-27,4.7701788137819,809797.0
2005-05-04,5.742200575089806,802412.0
2005-05-11,5.693123353403018,808378.0
2005-05-18,5.902171299317982,801546.0
2005-05-25,5.064400836199345,810160.0
2005-06-01,6.968419950529392,817335.0
2005-06-08,5.4371544716500075,814172.0
2005-06-15,6.479626795338622,811198.0
2005-06-22,4.53627874999516,810429.0
2005-06-29,3.9128862025352262,810082.0
2005-07-06,5.576338119391444,821556.0
2005-07-13,4.297028119906754,808861.0
2005-07-20,5.154718807771741,816804.0
