date,value
1947-10-01,10.719359371691468
1948-01-01,10.477455577213988
1948-04-01,10.21510307557408
1948-07-01,9.972564076849237
1948-10-01,11.462516852970762
1949-01-01,11.68473715976934
1949-04-01,11.84333206805945
1949-07-01,11.776583152857022
1949-10-01,12.946232268029428
1950-01-01,12.475963935220136
1950-04-01,12.065444602473287
1950-07-01,11.36967675148384
1950-10-01,11.472284298863865
1951-01-01,10.924107142857142
1951-04-01,10.667267284722021
1951-07-01,10.445807305377294
1951-10-01,11.247466154563169
1952-01-01,11.450447445945196
1952-04-01,11.812591751378003
1952-07-01,11.916203654599796
1952-10-01,11.771687866978981
1953-01-01,11.76014227537502
1953-04-01,11.8869480202885
1953-07-01,12.052785099099882
1953-10-01,12.543461927092778
1954-01-01,12.797363401627113
1954-04-01,13.003177760339376
1954-07-01,13.192718084072471
1954-10-01,13.028163728879708
1955-01-01,12.722932750385526
1955-04-01,12.610904984674947
1955-07-01,12.46429160826645
1955-10-01,12.566233195757414
1956-01-01,12.586356669531956
1956-04-01,12.608461693683997
1956-07-01,12.724987865449444
1956-10-01,12.686795681737728
1957-01-01,12.742800338031287
1957-04-01,12.985541020073091
1957-07-01,13.10809401655926
1957-10-01,13.581572829273226
1958-01-01,14.256106429396414
1958-04-01,14.366771332562111
1958-07-01,14.255281048738166
1958-10-01,14.087137552421655
1959-01-01,13.904532361413205
1959-04-01,13.704503752968028
1959-07-01,13.763680066433793
1959-10-01,13.830684827847142
1960-01-01,13.571044212823043
1960-04-01,13.79722037406668
1960-07-01,13.8692165013453
1960-10-01,14.25128240253093
1961-01-01,14.16466979072251
1961-04-01,14.266351060670154
1961-07-01,14.137588432593931
1961-10-01,14.072220346806475
1962-01-01,13.90003249087141
1962-04-01,14.003624455748659
1962-07-01,13.943716781029414
1962-10-01,14.019892859476057
1963-01-01,13.961220708026097
1963-04-01,13.923258679607212
1963-07-01,13.707319798151584
1963-10-01,13.668268245613499
1964-01-01,13.44222793518278
1964-04-01,13.445483398509447
1964-07-01,13.314287943748186
1964-10-01,13.413229813041092
1965-01-01,13.12208306050516
1965-04-01,13.10177748013876
1965-07-01,13.01975249658692
1965-10-01,12.704037146777189
1966-01-01,12.69808755187035
1966-04-01,12.876204531535526
1966-07-01,13.016600011224465
1966-10-01,13.092012259660962
1967-01-01,13.420756482698984
1967-04-01,13.837497335046756
1967-07-01,14.101288323492053
1967-10-01,14.200188555305585
1968-01-01,14.099167901014642
1968-04-01,14.09138390143245
1968-07-01,14.355007493492494
1968-10-01,14.387364027974339
1969-01-01,14.430349418173291
1969-04-01,14.5361836237141
1969-07-01,14.593924400654009
1969-10-01,14.682988054678193
1970-01-01,14.968797564687975
1970-04-01,15.271858531443963
1970-07-01,15.545564283340042
1970-10-01,16.01706031923337
1971-01-01,15.95551624622519
1971-04-01,16.02306033793116
1971-07-01,16.08236567813701
1971-10-01,16.189152791278143
1972-01-01,16.001183154031867
1972-04-01,15.917951244858333
1972-07-01,15.843048708861074
1972-10-01,15.5353584608068
1973-01-01,15.045118294869656
1973-04-01,14.932452169091306
1973-07-01,14.96807868113413
1973-10-01,14.851699091438059
1974-01-01,15.04316296374284
1974-04-01,15.089186278149294
1974-07-01,15.254297043767217
1974-10-01,15.304820529618754
1975-01-01,15.839704575661647
1975-04-01,15.892576397536583
1975-07-01,15.599595279035222
1975-10-01,15.37866004174067
1976-01-01,15.322053933919877
1976-04-01,15.402530431909614
1976-07-01,15.420994212740874
1976-10-01,15.383040553220773
1977-01-01,15.423795463048265
1977-04-01,15.242697998792746
1977-07-01,15.170360915621773
1977-10-01,15.262929301796913
1978-01-01,15.295674517423596
1978-04-01,14.846461685865659
1978-07-01,14.784349239870684
1978-10-01,14.600502473002066
1979-01-01,14.663363162498367
1979-04-01,14.703731446674132
1979-07-01,14.646241047547107
1979-10-01,14.609107659910503
1980-01-01,14.787432406566392
1980-04-01,15.440816886827257
1980-07-01,15.326329615824774
1980-10-01,14.73718304490586
1981-01-01,14.496931380325112
1981-04-01,14.87627635072151
1981-07-01,14.855353708463664
1981-10-01,15.024240905774109
1982-01-01,15.624032236488874
1982-04-01,15.663486968077764
1982-07-01,15.808529308842115
1982-10-01,15.682393350185345
1983-01-01,15.71451480143594
1983-04-01,15.577638390901205
1983-07-01,15.339293647719451
1983-10-01,14.973175787531364
1984-01-01,14.957853704170926
1984-04-01,15.128238445670778
1984-07-01,15.426136989655385
1984-10-01,15.914375886906054
1985-01-01,16.194983272531967
1985-04-01,16.713035756237595
1985-07-01,16.928594208088725
1985-10-01,17.560429639877107
1986-01-01,17.985471708074765
1986-04-01,18.619751217730688
1986-07-01,19.055969515171338
1986-10-01,19.152306528624983
1987-01-01,19.448870388864748
1987-04-01,19.58207799990013
1987-07-01,19.725809208822504
1987-10-01,19.692016404173007
1988-01-01,19.93396108150555
1988-04-01,20.184175986447876
1988-07-01,20.345174513305828
1988-10-01,20.424060780341325
1989-01-01,20.460610318560953
1989-04-01,20.714987341564658
1989-07-01,20.743674900555103
1989-10-01,20.843354815540057
1990-01-01,20.824812977878494
1990-04-01,20.851697341019204
1990-07-01,20.821560215962588
1990-10-01,20.891087080807754
1991-01-01,21.15430563936971
1991-04-01,21.23199445327804
1991-07-01,21.08005608178104
1991-10-01,20.968387144147858
1992-01-01,21.151460404060785
1992-04-01,21.1217440663489
1992-07-01,21.005868906188113
1992-10-01,20.870185814489666
1993-01-01,21.696677251469993
1993-04-01,22.281591889720264
1993-07-01,22.697177517669758
1993-10-01,22.724872243588226
1994-01-01,23.103687476565746
